artist_name,quote,image_url,uploaded_at
asap rocky,money change up,http://media-cache-ak0.pinimg.com/736x/9c/dc/e4/9cdce41c68124bfb8f81a514d33ba30c.jpg,1/11/2014
asap rocky,real though,http://media-cache-ak0.pinimg.com/736x/0c/33/1f/0c331f1ad75ccee6a313180a1c97b2bf.jpg,2/11/2014
2 pac,smile through bull shit,http://media-cache-ec0.pinimg.com/236x/93/f8/18/93f81811277de14e1f0a12b492711960.jpg,3/11/2014
2 pac,the get money cant feed poor,http://media-cache-ak0.pinimg.com/236x/23/e6/5e/23e65ee117671fd483eb0b67f2b67a28.jpg,4/11/2014
50 cent,so don't push me,http://media-cache-ec0.pinimg.com/236x/7c/42/8d/7c428d597fd78b1f90c0faef68fc96ef.jpg,5/11/2014
50 cent,live has got to be hard,http://media-cache-ak0.pinimg.com/236x/09/33/d3/0933d3c1ed9c0914183cfb4e75e491d0.jpg,6/11/2014
andre 300,everyone has an addiction,https://38.media.tumblr.com/ee6f4c0861155b590c6123f58e846e05/tumblr_naj4wpkyES1tcvonjo1_500.jpg,7/11/2014
andre 300,one day kids have to visit a museum,http://media-cache-ak0.pinimg.com/236x/72/f0/be/72f0be60152d5bc6cdfe4fbaa86e2701.jpg,8/11/2014
b.i.g,only live in the sky ,http://media-cache-ak0.pinimg.com/236x/5d/95/22/5d9522edf31a2d237be24e911fbf7dd8.jpg,9/11/2014
b.i.g,hustlers prayer,http://s3.amazonaws.com/rapgenius/tumblr_lzpmzt4nCa1qmmebbo1_1280.jpg,10/11/2014
big sean,are you willing to give up what you love,http://www.quotesfrenzy.com/wp-content/uploads/2013/12/bigsean-lyrics-HipHop-Quotes.jpg,11/11/2014
big sean,you can't expect to be the best if your not feeling the best,http://favimages.net/wp-content/uploads/2013/06/rapper-big-sean-quotes-sayings-expect-the-best.png,12/11/2014
childish gambino,dont be mad because im do me better,http://guycodeblog.mtv.com//wp-content/uploads/clutch/2014/03/childish-gambino-meme4.jpg,13/11/2014
childish gambino,I cant find the love I had for you,http://media-cache-ec0.pinimg.com/236x/63/6b/24/636b24922a3f608804dc817728744526.jpg,14/11/2014
didy,dont ask me what the meaning of life is ,http://24.media.tumblr.com/tumblr_m20hqhHAoW1r80jjso1_500.jpg,15/11/2014
didy,if you want to fly you have to let the things go that weigh you down,http://24.media.tumblr.com/tumblr_lxj1tkKJ6m1r80jjso1_500.jpg,16/11/2014
dmx ,I may have done some bad but I am not a bad person,http://24.media.tumblr.com/0229ca3ddd8dd6d2e43e6850918afdcd/tumblr_mgsrpspQro1qjm9bpo1_500.png,17/11/2014
dmx ,dont believe everything you see,http://www.newmediawarrior.net/wp-content/uploads/2013/08/dmx-changeworld.png,18/11/2014
dr dre,I grab my dick when I take a picture,http://31.media.tumblr.com/tumblr_ma3fr1diCX1qjm9bpo1_500.jpg,19/11/2014
dr dre,and even when I was close to defeat I rose to my feet ,http://24.media.tumblr.com/tumblr_m003jbhTj71r80jjso1_500.jpg,18/11/2014
drake,live for today plan for tomorrow,http://lovequotes.ml/images/1406-drake-quotes-tumblr.png,18/11/2014
drake,I cant help you fix yourself but at least I tried ,http://38.media.tumblr.com/tumblr_m2wsrvVfBZ1rr2wazo1_500.jpg,18/11/2014
eazy e,im here to save you but who's to save me,http://24.media.tumblr.com/tumblr_mea7j5kAeR1qjm9bpo1_500.png,18/11/2014
eazy e,cruisin down the street in my six-fo jocking the bitches,http://31.media.tumblr.com/tumblr_m7cl54xd9d1r4grpqo1_500.jpg,18/11/2014
eminem,you've got enemies ? Good that means you actually stood up for something,http://1.bp.blogspot.com/-4kqfnbZzZro/UyA4jpb-UYI/AAAAAAAAAoI/SMX7mEKkfeU/s1600/youve-got-enemies-good.-that-means-you-actually-stood-up-for-something.png,18/11/2014
eminem,"I say what I want to say and do what I want to do , people will hate you for it or not",http://24.media.tumblr.com/tumblr_m3ko3aC6D01rvtrhco1_500.jpg,18/11/2014
erykah badu,"oh my my im feeling high my moneys gone , im alone alone what a day",http://24.media.tumblr.com/52915fbdcd1cbb1bd42846fc04816244/tumblr_mlw4n53fk11qjm9bpo1_500.jpg,18/11/2014
erykah badu,peace and blessings manifest with every lesson learned if your knowledge,http://25.media.tumblr.com/906245f0694303c2a6818c9e5fc16eba/tumblr_mlw3pvpPAi1qjm9bpo1_500.png,18/11/2014
fabolous,rather a real enemy than a fake friend rather know for sure than be mistaken,http://25.media.tumblr.com/tumblr_m1r73ymKAt1qjm9bpo1_500.png,18/11/2014
fabolous,my attitude is celibate I don't give a fuck ,http://30.media.tumblr.com/tumblr_m1pod7UBJx1qjm9bpo1_500.png,18/11/2014
jay z,the problem is you dudes be treating the one you love with the same respect ,http://38.media.tumblr.com/tumblr_lrwldzdyGt1r16hn0o1_500.jpg,18/11/2014
jay z,photoshoot fresh looking like wealth about to call paparazzi on myself,http://data1.whicdn.com/images/18786769/original.png,18/11/2014
j cole,"life is a movie , pick your own role climb your own ladder or dig your own hole",http://hiphop.hypeeater.com/wp-content/uploads/HLIC/tumblr_ltnhhqoVbi1r23tipo1_500.png,18/11/2014
j cole,look some niggas let their dirt out some just keep it all in ,http://hiphop.hypeeater.com/wp-content/uploads/HLIC/tumblr_lrzvqpz9Cm1qmd6j3o1_500.jpg,18/11/2014
kanye west,the prettiest people do the ugliest things ,http://25.media.tumblr.com/tumblr_lyqsgpOBKB1r80jjso1_r1_500.jpg,18/11/2014
kanye west,im my favourite rapper,http://37.media.tumblr.com/tumblr_m4ty13smTl1rrjqfqo1_500.jpg,18/11/2014
kendrick lamar,im standing on a field full of land mines doing the moon walk hoping I blow up in time,http://s5.favim.com/orig/51/kendrick-lamar-sayings-quotes-life-love-Favim.com-545283.jpg,18/11/2014
kendrick lamar,love is not just a verb,http://data1.whicdn.com/images/45007647/large.jpg,18/11/2014
lauryn hill,you might win some but you might lose some,https://36.media.tumblr.com/tumblr_m948v4rp5u1rca24xo1_500.jpg,18/11/2014
lauryn hill,be honest brutally honest that is what going to maintain relationships,http://favimages.com/wp-content/uploads/2012/08/lauryn-hill-quotes-sayings-about-relationships.jpg,18/11/2014
lil kim,we all make bad decisions no one is to judge anyone,http://24.media.tumblr.com/tumblr_m5ukikp0yT1r80jjso1_500.jpg,18/11/2014
lil kim,imagine for a minute yourself in the same shoes the sense of survival,http://favimages.com/wp-content/uploads/2012/08/rapper-lil-kim-cute-quotes-sayings-imagine.jpg,18/11/2014
lil wayne,what goes around comes around like a hula hoop karma is a bitch,http://www.kerrycontrary.com/wp-content/uploads/2014/06/Lil-Wayne.png,18/11/2014
lil wayne,you say its over but you still fussing you just clumsy always tripping over nothing,http://quotesforlifelessons.com/wp-content/uploads/2014/08/lil-wayne-love-quotes-tumblrlil-wayne-quotes-about-love-tumblr-word-quotes-vb0flbbm.jpg,18/11/2014
ludacris,my work is like my vacation so in a way everyday is like saturday,http://www.rugusavay.com/wp-content/uploads/2013/10/Ludacris-Quotes-2.jpg,18/11/2014
ludacris,opportunities are usually disguised as hard work so most people dont recognize them ,http://favimages.com/wp-content/uploads/2012/08/rapper-ludacris-life-quotes-sayings-opportunities-work.jpg,18/11/2014
lupe fiasco,my conception wasn't immaculate I aint mastering no calculus,http://favimages.net/wp-content/uploads/2013/06/lupe-fiasco-quotes-sayings-rap-audience.jpg,18/11/2014
lupe fiasco,im just trying to do the opposite of left as long as there's the opposite of death,http://28.media.tumblr.com/tumblr_ly84yyRfpb1qjm9bpo1_500.png,18/11/2014
mgk,I just wanna be young forever man roll the peter pan light it up and lets never land,https://38.media.tumblr.com/tumblr_m3r0h0RQEb1rpfn3vo1_1280.jpg#_=_,18/11/2014
mgk,you see my tears in the rain underneath it all  were just the same,http://favimages.net/wp-content/uploads/2013/06/rapper-machine-gun-kelly-mgk-quotes-sayings-hip-hop-quote.png,18/11/2014
mac miller,no one really know anything but they think they got it all figured out,http://33.media.tumblr.com/tumblr_m1f4o962ng1r80jjso1_500.jpg,18/11/2014
mac miller,its hard to accept the truth when the lies were all that you want to hear,http://data1.whicdn.com/images/19379210/large.jpg,18/11/2014
missy elliot,no because I dont want to hear what's hot and feel I have to copy it ,http://izquotes.com/quotes-pictures/quote-no-because-i-don-t-want-to-hear-what-s-hot-and-feel-i-have-to-copy-it-i-ll-just-make-up-my-own-missy-elliot-57231.jpg,18/11/2014
missy elliot,I love my mother she is my first love has been through it all ,http://quotes.lifehack.org/media/quotes/quote-Missy-Elliot-i-love-my-mother-shes-my-first-13233.png,18/11/2014
nas,I broke in shakespears tomb and stole his remains ,http://25.media.tumblr.com/tumblr_me527zHD6M1r4grpqo1_1280.jpg,18/11/2014
nas,take one step towards him and he take two towards you ,http://38.media.tumblr.com/tumblr_m4n1mq8AkA1rqbgtzo1_1280.jpg,18/11/2014
nicki minaj,beauty might bring happiness but happiness always brings beauty,http://data1.whicdn.com/images/13565042/large.jpg,18/11/2014
nicki minaj,fuck what I look like ho I look like yes and you like no,http://25.media.tumblr.com/79820c249d4b6c28a1fc4c99d3916be2/tumblr_mpip019ESO1s5ibgeo1_500.jpg,18/11/2014
pharrell williams,when creative individuals are given a stage they have the power to advance humanity,http://media-cache-ak0.pinimg.com/736x/a6/b4/14/a6b414e97890bc7f97b7374266870612.jpg,18/11/2014
pharrell williams,I think all music Is a gift from god ,http://a.pix.ge:81/m/psicw.jpg,18/11/2014
rick ross,every boss started as a worker,http://www.rapcaptions.com/pics/154.png,18/11/2014
rick ross,ambition is priceless it's something that's in your vein ,http://25.media.tumblr.com/tumblr_m4jl4sUfEt1rrc8p9o1_500.jpg,18/11/2014
snoop dogg,one two three and to fo snoop doggy dogg and dre is at the do,http://izquotes.com/quotes-pictures/quote-one-two-three-and-to-the-fo-snoop-doggy-dogg-and-dr-dre-is-at-the-do-ain-t-nuthin-but-a-g-snoop-dogg-310685.jpg,18/11/2014
snoop dogg,if its flipping burger at mcdonalds be the best burger flipper,http://cmster.com/media/nBCPeYaRBlne8GyoJ2cVruj62CQNdxFpAVeGrtmwNAzbXAMz9o7W3yO2bGXcINwM.jpg,18/11/2014
t.i,stop looking at what you aint got and start being thankful,http://25.media.tumblr.com/tumblr_m7iwt1eu2M1r80jjso1_r1_500.jpg,18/11/2014
t.i,let the losers worry about losing,http://25.media.tumblr.com/tumblr_m3bhcuAPhL1ruhh55o1_500.jpg,18/11/2014
tyga,I may not show my feelings to everyone but it doesn't mean I dont get affected,http://quotesforlifelessons.com/wp-content/uploads/2014/08/tumblr-love-quotes-tygatyga-sayings-tumblr-30uiffwt.jpg,18/11/2014
tyga,dont trust too much dont love too much dont hope too much ,http://s3.favim.com/orig/45/hope-love-trust-tyga-Favim.com-401597.jpg,18/11/2014
tyler the creator,you know that shit you think about when you that eats you up inside,http://25.media.tumblr.com/tumblr_m3be54DPyy1r16hn0o1_500.png,18/11/2014
tyler the creator,fuck age live dreams and have fun,http://28.media.tumblr.com/tumblr_m28gy7MVHe1qjm9bpo1_500.png,18/11/2014
wale,bitches aint shit but women aint bitches see women,http://s5.favim.com/orig/51/wale-sayings-hqlines-quotes-music-Favim.com-547414.jpg,18/11/2014
wale,I can show you all this love without a bit of sex involved,https://33.media.tumblr.com/bdb9063e9d7ac85efa07cd912956b912/tumblr_mkygbaJr521rk7gubo1_500.png,18/11/2014
wiz khalifa,I love everything you hate about yourself,http://33.media.tumblr.com/tumblr_lq8o8clrwP1qha1zdo1_500.jpg,18/11/2014
wiz khalifa,its a little too late im a little to gone a little too tired of just hanging on ,http://quoteshelp.com/wp-content/gallery/wiz-khalifa-quotes/wiz-khalifa-quote-1.jpg,18/11/2014
